spp	day	fung	rep	status
X	4	C	2	0
X	4	C	3	0
X	4	C	4	0
X	4	C	5	0
X	4	C	6	1
X	4	C	7	0
X	4	C	8	0
X	4	C	9	0
X	4	C	10	0
X	4	C	11	0
X	4	C	12	0
X	4	C	13	1
X	4	C	14	1
X	4	C	15	0
X	4	C	16	1
X	4	C	17	0
X	4	C	18	0
X	4	C	19	0
X	4	C	20	0
X	4	C	21	0
X	4	C	22	0
X	4	C	23	0
X	4	C	24	0
X	4	C	25	0
Y	4	C	1	1
Y	4	C	2	0
Y	4	C	3	0
Y	4	C	4	0
Y	4	C	5	1
Y	4	C	6	1
Y	4	C	7	0
Y	4	C	8	0
Y	4	C	9	1
Y	4	C	10	1
Y	4	C	11	0
Y	4	C	12	1
Y	4	C	13	0
Y	4	C	14	1
Y	4	C	15	0
Y	4	C	16	0
Y	4	C	17	0
Y	4	C	18	0
Y	4	C	19	0
Y	4	C	20	0
Y	4	C	21	0
Y	4	C	22	0
Y	4	C	23	1
Y	4	C	24	1
Y	4	C	25	0
X	4	D	1	1
X	4	D	2	1
X	4	D	3	1
X	4	D	4	0
X	4	D	5	0
X	4	D	6	0
X	4	D	7	0
X	4	D	8	0
X	4	D	9	1
X	4	D	10	1
X	4	D	11	0
X	4	D	12	0
X	4	D	13	1
X	4	D	14	0
X	4	D	15	1
X	4	D	16	1
X	4	D	17	0
X	4	D	18	1
X	4	D	19	0
X	4	D	20	0
X	4	D	21	0
X	4	D	22	0
X	4	D	23	1
X	4	D	24	1
X	4	D	25	0
Y	4	D	1	1
Y	4	D	2	0
Y	4	D	3	0
Y	4	D	4	1
Y	4	D	5	1
Y	4	D	6	1
Y	4	D	7	1
Y	4	D	8	0
Y	4	D	9	1
Y	4	D	10	1
Y	4	D	11	0
Y	4	D	12	0
Y	4	D	13	1
Y	4	D	14	0
Y	4	D	15	0
Y	4	D	16	0
Y	4	D	17	0
Y	4	D	18	0
Y	4	D	19	0
Y	4	D	20	0
Y	4	D	21	1
Y	4	D	22	1
Y	4	D	23	1
Y	4	D	24	1
Y	4	D	25	0
X	4	E	1	0
X	4	E	2	0
X	4	E	3	0
X	4	E	4	1
X	4	E	5	0
X	4	E	6	0
X	4	E	7	1
X	4	E	8	0
X	4	E	9	1
X	4	E	10	1
X	4	E	11	0
X	4	E	12	0
X	4	E	13	1
X	4	E	14	0
X	4	E	15	1
X	4	E	16	0
X	4	E	17	0
X	4	E	18	0
X	4	E	19	0
X	4	E	20	1
X	4	E	21	0
X	4	E	22	0
X	4	E	23	1
X	4	E	24	0
X	4	E	25	0
Y	4	E	1	0
Y	4	E	2	1
Y	4	E	3	1
Y	4	E	4	0
Y	4	E	5	0
Y	4	E	6	0
Y	4	E	7	1
Y	4	E	8	1
Y	4	E	9	0
Y	4	E	10	1
Y	4	E	11	1
Y	4	E	12	0
Y	4	E	13	1
Y	4	E	14	1
Y	4	E	15	0
Y	4	E	16	1
Y	4	E	17	0
Y	4	E	18	0
Y	4	E	19	1
Y	4	E	20	0
Y	4	E	21	0
Y	4	E	22	1
Y	4	E	23	1
Y	4	E	24	0
Y	4	E	25	1
X	5	test	1	1
X	5	test	2	1
X	5	test	3	1
X	5	test	4	1
X	5	test	5	1
X	5	test	6	1
X	5	test	7	1
X	5	test	8	1
X	5	test	9	0
X	5	test	10	1
X	5	test	11	1
X	5	test	12	1
X	5	test	13	1
X	5	test	14	0
X	5	test	15	0
X	5	test	16	1
X	5	test	17	1
X	5	test	18	1
X	5	test	19	0
X	5	test	20	1
X	5	test	21	0
X	5	test	22	1
X	5	test	23	1
X	5	test	24	1
X	5	test	25	1
Y	5	test	1	1
Y	5	test	2	0
Y	5	test	3	1
Y	5	test	4	1
Y	5	test	5	1
Y	5	test	6	1
Y	5	test	7	1
Y	5	test	8	0
Y	5	test	9	1
Y	5	test	10	0
Y	5	test	11	0
