
iso	pop	rep	ss	fun	mw	dis
2F79	BL	2	1000	Fp	396.72	65.00
2F79	BL	2	100	Fp	396.72	26.70
2F95	BL	1	1000	Fp	396.72	15.00
2F95	BL	1	10000	Fp	396.72	47.60
2F95	BL	2	1000	Fp	396.72	15.00
2F95	BL	2	10000	Fp	396.72	55.30
2F97	BL	1	1000	Fp	396.72	47.90
2F97	BL	2	1000	Fp	396.72	44.60
2F98	BL	1	1000	Fp	396.72	65.00
2F98	BL	1	100	Fp	396.72	na
2F98	BL	2	1000	Fp	396.72	65.00
2F98	BL	2	100	Fp	396.72	34.30
2G11	BL	1	1000	Fp	396.72	65.00
2G11	BL	1	100	Fp	396.72	24.30
2G11	BL	2	1000	Fp	396.72	65.00
2G11	BL	2	100	Fp	396.72	24.10
2G12	BL	1	1000	Fp	396.72	65.00
2G12	BL	1	100	Fp	396.72	26.50
2G12	BL	2	1000	Fp	396.72	65.00
2G12	BL	2	100	Fp	396.72	33.40
2G13	BL	1	1000	Fp	396.72	54.48
2G13	BL	2	1000	Fp	396.72	47.70
2G16	BL	1	1000	Fp	396.72	27.58
2G16	BL	2	1000	Fp	396.72	29.20
2G17	BL	1	1000	Fp	396.72	40.31
2G17	BL	2	1000	Fp	396.72	41.00
2G19	BL	1	1000	Fp	396.72	65.00
2G19	BL	1	100	Fp	396.72	44.30
2G19	BL	2	1000	Fp	396.72	65.00
2G19	BL	2	100	Fp	396.72	42.10
3I95	BL	1	1000	Fp	396.72	29.29
3I95	BL	2	1000	Fp	396.72	23.05
3I96	BL	1	1000	Fp	396.72	25.69
3I96	BL	2	1000	Fp	396.72	28.36
3I99	BL	1	1000	Fp	396.72	47.64
3I99	BL	2	1000	Fp	396.72	44.68
3J10	BL	1	1000	Fp	396.72	33.67
3J10	BL	2	1000	Fp	396.72	37.55
3J11	BL	1	1000	Fp	396.72	20.01
3J11	BL	2	1000	Fp	396.72	28.20
3J12	BL	1	1000	Fp	396.72	27.27
3J12	BL	2	1000	Fp	396.72	15.00
3J14	BL	1	1000	Fp	396.72	53.32
3J14	BL	2	1000	Fp	396.72	56.33
3J15	BL	1	1000	Fp	396.72	65.00
3J15	BL	1	100	Fp	396.72	32.50
3J15	BL	2	1000	Fp	396.72	65.00
3J15	BL	2	100	Fp	396.72	33.70
3J16	BL	1	1000	Fp	396.72	65.00
3J16	BL	1	100	Fp	396.72	na
3J16	BL	2	1000	Fp	396.72	65.00
3J16	BL	2	100	Fp	396.72	21.80
3J17	BL	1	1000	Fp	396.72	65.00
3J17	BL	1	100	Fp	396.72	36.10
3J17	BL	2	1000	Fp	396.72	43.92
3J17	BL	2	100	Fp	396.72	27.80
3J18	BL	1	1000	Fp	396.72	65.00
3J18	BL	1	100	Fp	396.72	42.60
3J18	BL	2	1000	Fp	396.72	46.71
3J18	BL	2	100	Fp	396.72	40.00
3J21	BL	1	1000	Fp	396.72	65.00
3J21	BL	1	100	Fp	396.72	34.20
3J21	BL	2	1000	Fp	396.72	40.78
3J21	BL	2	100	Fp	396.72	30.10
3J33	BL	1	1000	Fp	396.72	38.82
3J33	BL	1	100	Fp	396.72	37.00
3J33	BL	2	1000	Fp	396.72	65.00
3J33	BL	2	100	Fp	396.72	37.90
3J24	BL	1	1000	Fp	396.72	37.77
3J24	BL	2	1000	Fp	396.72	65.00
3J25	BL	1	1000	Fp	396.72	65.00
3J25	BL	1	100	Fp	396.72	26.10
3J25	BL	2	1000	Fp	396.72	65.00
3J25	BL	2	100	Fp	396.72	29.50
3J28	BL	1	1000	Fp	396.72	65.00
3J28	BL	1	100	Fp	396.72	31.00
3J28	BL	2	1000	Fp	396.72	65.00
3J28	BL	2	100	Fp	396.72	24.10
3J29	BL	1	1000	Fp	396.72	65.00
3J29	BL	1	100	Fp	396.72	26.80
3J29	BL	2	1000	Fp	396.72	65.00
3J29	BL	2	100	Fp	396.72	25.30
3J32	BL	1	1000	Fp	396.72	65.00
3J32	BL	1	100	Fp	396.72	22.90
3J32	BL	2	1000	Fp	396.72	65.00
3J32	BL	2	100	Fp	396.72	26.30
3J36	BL	1	1000	Fp	396.72	65.00
3J36	BL	1	100	Fp	396.72	31.10
3J36	BL	2	1000	Fp	396.72	65.00
3J36	BL	2	100	Fp	396.72	39.40
3J37	BL	1	1000	Fp	396.72	43.87
3J37	BL	2	1000	Fp	396.72	45.49
3J38	BL	1	1000	Fp	396.72	43.14
3J38	BL	2	1000	Fp	396.72	65.00
3J39	BL	1	1000	Fp	396.72	65.00
3J39	BL	1	100	Fp	396.72	34.90
3J39	BL	2	1000	Fp	396.72	65.00
3J39	BL	2	100	Fp	396.72	32.80
3J40	BL	1	1000	Fp	396.72	65.00
3J40	BL	1	100	Fp	396.72	32.40
3J40	BL	2	1000	Fp	396.72	65.00
3J40	BL	2	100	Fp	396.72	30.90
11H004	EX	1	1000	Fp	396.72	59.30
11H004	EX	1	100	Fp	396.72	41.50
11H004	EX	2	1000	Fp	396.72	65.00
11H004	EX	2	100	Fp	396.72	40.30
11H005	EX	1	1000	Fp	396.72	56.80
11H005	EX	1	100	Fp	396.72	41.30
